weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
46.376926,3,"Couple household, with children",380.94296,1,5.5199962,0,8,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,596
27.826157,5,Other household types,221.28633,1,5.4213495,0,5,1,1,30,0,0,0,0,0,0,1,48,9,0,0,0,597
27.826157,5,Other household types,221.28633,1,5.4213495,0,5,1,1,30,0,0,0,0,0,0,1,47,9,1,0,0,597
27.826157,5,Other household types,221.28633,1,5.4213495,0,5,1,1,30,0,0,0,0,0,0,1,24,4,0,0,1,597
27.826157,5,Other household types,221.28633,1,5.4213495,0,5,1,1,30,0,0,0,0,0,0,1,22,4,0,0,0,597
34.782696,4,"Couple household, with no children",217.11906,1,6.0279918,0,5,0,0,0,0,0,0,0,0,0,1,54,10,1,0,0,598
34.782696,4,"Couple household, with no children",217.11906,1,6.0279918,0,5,0,0,0,0,0,0,0,0,0,1,26,5,0,0,0,598
34.782696,4,"Couple household, with no children",217.11906,1,6.0279918,0,5,0,0,0,0,0,0,0,0,0,1,19,3,1,0,0,598
23.188463,6,Three generation household,106.82735,1,5.047565,1,1,0,1,25,0,0,0,0,0,0,1,63,12,1,0,0,599
23.188463,6,Three generation household,106.82735,1,5.047565,1,1,0,1,25,0,0,0,0,0,0,1,23,4,0,0,0,599
23.188463,6,Three generation household,106.82735,1,5.047565,1,1,0,1,25,0,0,0,0,0,0,1,23,4,1,0,0,599
23.188463,6,Three generation household,106.82735,1,5.047565,1,1,0,1,25,0,0,0,0,0,0,1,6,1,1,0,0,599
23.188463,6,Three generation household,106.82735,1,5.047565,1,1,0,1,25,0,0,0,0,0,0,1,6,1,1,0,1,599
69.565392,2,"Couple household, with no children",322.3241,1,6.0348063,0,7,0,0,0,0,0,0,0,0,0,1,50,10,1,0,0,600
34.782696,4,Other household types,193.89772,1,5.2269473,0,4,1,0,0,0,0,0,0,0,0,1,25,5,0,0,0,601
34.782696,4,Other household types,193.89772,1,5.2269473,0,4,1,0,0,0,0,0,0,0,0,1,18,3,1,0,0,601
34.782696,4,Other household types,193.89772,1,5.2269473,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,601
23.188463,6,"Couple household, with children",127.83837,1,5.4205503,1,2,0,0,0,0,0,0,0,0,0,1,51,10,1,0,0,602
